,eventDate,decimalLatitude,decimalLongitude,genus,species
100377,2021-01-25,55.91271,9.12095,Coccothraustes,Coccothraustes coccothraustes
100378,1984-11-14,55.67595,12.47707,Podiceps,Podiceps cristatus
100379,2021-01-25,55.30973,11.78503,Milvus,Milvus milvus
100380,2021-01-26,57.12588,8.61929,Calidris,Calidris maritima
100381,2021-01-26,56.32902,10.04906,Pyrrhula,Pyrrhula pyrrhula
100382,2021-01-26,55.56967,12.55652,Fulica,Fulica atra
100383,2021-01-26,55.31911,9.89822,Lepus,Lepus europaeus
100384,2021-01-26,55.77966,12.33486,Anas,Anas platyrhynchos
100385,2021-01-26,54.62884,11.92806,Branta,Branta ruficollis
100386,1988-01-10,55.456,12.19551,Aythya,Aythya marila
100387,2021-01-26,55.12159,14.90677,Cyanistes,Cyanistes caeruleus
100388,2021-01-27,55.87815,9.87592,Ardea,Ardea cinerea
100389,2021-01-26,55.28879,11.85064,Ardea,Ardea alba
100390,2018-08-29,55.57615,12.56013,Saxicola,Saxicola rubetra
100391,2018-08-29,55.44952,8.34225,Charadrius,Charadrius alexandrinus
100392,2018-08-31,55.16755,10.31043,Motacilla,Motacilla alba
100393,2018-09-01,56.20462,8.12958,Arenaria,Arenaria interpres
100394,2018-09-01,54.59638,11.50005,Grus,Grus grus
100395,2018-09-01,55.72761,12.18991,Ardea,Ardea cinerea
100396,2018-09-01,55.5061,11.68349,Actitis,Actitis hypoleucos
100397,2018-09-01,56.43789,9.53236,Regulus,Regulus regulus
100398,2018-09-02,56.04766,9.43416,Corvus,Corvus corax
100399,2018-09-03,55.81811,12.27084,Motacilla,Motacilla alba
100400,2018-09-03,55.96433,12.16722,Alcedo,Alcedo atthis
100401,2018-09-03,56.07922,10.18847,Calidris,Calidris alpina
100402,2018-09-03,55.33049,12.44765,Larus,Larus argentatus
100403,2018-09-05,57.09299,8.71857,Mareca,Mareca penelope
100404,2018-09-05,55.92009,11.71437,Buteo,Buteo buteo
100405,2018-09-05,57.11291,8.58672,Phoenicurus,Phoenicurus ochruros
100406,2021-01-31,55.62725,8.28099,Chloris,Chloris chloris
100407,2021-01-31,55.47269,11.87576,Sitta,Sitta europaea
100408,2021-01-31,55.86275,9.99022,Mareca,Mareca penelope
100409,2021-01-31,55.75111,12.52871,Motacilla,Motacilla cinerea
